feedback_id,install,score,body,ts
F000001,I00002,5,"reliable so far, operators like the controls",2026-09-03
F000002,I00004,5,"solid machine, support answered quickly when we asked",2025-12-06
F000003,I00005,5,"reliable so far, operators like the controls",2025-09-26
F000004,I00008,4,"runs well, uptime has been excellent since commissioning",2026-04-11
F000005,I00010,5,"no complaints, the line has kept pace all quarter",2026-03-29
F000006,I00012,2,"keeps overheating in summer, not what we were promised on uptime",2026-03-03
F000007,I00016,5,"solid machine, support answered quickly when we asked",2026-01-15
F000008,I00017,3,"keeps overheating in summer, not what we were promised on uptime",2025-06-21
F000009,I00019,3,"keeps overheating in summer, not what we were promised on uptime",2025-08-05
F000010,I00020,5,"reliable so far, operators like the controls",2026-05-28
F000011,I00025,5,"solid machine, support answered quickly when we asked",2025-11-06
F000012,I00027,4,"reliable so far, operators like the controls",2025-05-06
F000013,I00029,3,"too much downtime in hot weather, we lost a shift to it",2024-11-23
F000014,I00030,5,"runs well, uptime has been excellent since commissioning",2024-07-24
F000015,I00031,5,"reliable so far, operators like the controls",2026-06-29
F000016,I00033,5,"no complaints, the line has kept pace all quarter",2025-01-08
F000017,I00034,2,wear parts go faster than expected at our duty cycle,2025-07-03
F000018,I00036,5,"reliable so far, operators like the controls",2025-11-13
F000019,I00039,1,support took days to come back to us while the line was stopped,2025-02-28
F000020,I00040,2,support took days to come back to us while the line was stopped,2025-04-09
F000021,I00041,4,"solid machine, support answered quickly when we asked",2024-10-05
F000022,I00044,2,wear parts go faster than expected at our duty cycle,2025-11-18
F000023,I00051,5,"runs well, uptime has been excellent since commissioning",2024-10-02
F000024,I00052,5,"no complaints, the line has kept pace all quarter",2025-03-23
F000025,I00053,2,"too much downtime in hot weather, we lost a shift to it",2025-04-12
F000026,I00054,4,"solid machine, support answered quickly when we asked",2026-05-05
F000027,I00057,2,support took days to come back to us while the line was stopped,2026-02-22
F000028,I00058,4,"solid machine, support answered quickly when we asked",2025-05-28
F000029,I00060,5,"no complaints, the line has kept pace all quarter",2026-03-19
F000030,I00063,4,"solid machine, support answered quickly when we asked",2026-06-10
F000031,I00065,4,"runs well, uptime has been excellent since commissioning",2025-03-10
F000032,I00067,2,"too much downtime in hot weather, we lost a shift to it",2024-10-30
F000033,I00068,5,"no complaints, the line has kept pace all quarter",2025-07-12
F000034,I00073,3,"keeps overheating in summer, not what we were promised on uptime",2025-12-09
F000035,I00076,2,wear parts go faster than expected at our duty cycle,2024-11-07
F000036,I00077,5,"solid machine, support answered quickly when we asked",2024-10-25
F000037,I00079,4,"no complaints, the line has kept pace all quarter",2025-08-08
F000038,I00084,4,"solid machine, support answered quickly when we asked",2026-02-10
F000039,I00093,5,"solid machine, support answered quickly when we asked",2026-07-27
F000040,I00094,5,"reliable so far, operators like the controls",2025-06-09
F000041,I00095,3,"too much downtime in hot weather, we lost a shift to it",2025-06-10
F000042,I00097,4,"reliable so far, operators like the controls",2025-03-04
F000043,I00098,4,"no complaints, the line has kept pace all quarter",2025-07-07
F000044,I00100,4,"no complaints, the line has kept pace all quarter",2026-03-01
F000045,I00103,4,"solid machine, support answered quickly when we asked",2026-07-02
F000046,I00104,5,"reliable so far, operators like the controls",2026-04-06
F000047,I00109,2,wear parts go faster than expected at our duty cycle,2025-07-27
F000048,I00110,5,"reliable so far, operators like the controls",2025-03-15
F000049,I00112,5,"solid machine, support answered quickly when we asked",2025-11-27
F000050,I00113,5,"runs well, uptime has been excellent since commissioning",2024-10-20
F000051,I00114,5,"solid machine, support answered quickly when we asked",2026-04-22
F000052,I00115,4,"reliable so far, operators like the controls",2024-07-08
F000053,I00117,4,"reliable so far, operators like the controls",2025-08-13
F000054,I00120,2,support took days to come back to us while the line was stopped,2025-12-25
F000055,I00121,1,"too much downtime in hot weather, we lost a shift to it",2025-07-05
F000056,I00123,5,"no complaints, the line has kept pace all quarter",2025-09-13
F000057,I00126,3,support took days to come back to us while the line was stopped,2024-11-22
F000058,I00127,2,support took days to come back to us while the line was stopped,2025-08-08
F000059,I00129,4,"no complaints, the line has kept pace all quarter",2026-01-03
F000060,I00134,4,"reliable so far, operators like the controls",2025-09-17
F000061,I00135,3,"too much downtime in hot weather, we lost a shift to it",2026-03-09
F000062,I00140,5,"no complaints, the line has kept pace all quarter",2025-10-05
F000063,I00142,4,"runs well, uptime has been excellent since commissioning",2025-06-26
F000064,I00145,5,"runs well, uptime has been excellent since commissioning",2025-11-05
F000065,I00146,2,wear parts go faster than expected at our duty cycle,2026-04-27
F000066,I00149,4,"runs well, uptime has been excellent since commissioning",2025-04-29
F000067,I00154,1,wear parts go faster than expected at our duty cycle,2024-11-09
F000068,I00155,1,support took days to come back to us while the line was stopped,2025-08-27
F000069,I00162,4,"runs well, uptime has been excellent since commissioning",2025-07-31
F000070,I00163,5,"runs well, uptime has been excellent since commissioning",2025-01-17
F000071,I00164,4,"no complaints, the line has kept pace all quarter",2025-02-09
F000072,I00168,5,"solid machine, support answered quickly when we asked",2026-04-09
F000073,I00170,2,"keeps overheating in summer, not what we were promised on uptime",2025-04-15
F000074,I00174,4,"reliable so far, operators like the controls",2025-08-20
F000075,I00176,2,"too much downtime in hot weather, we lost a shift to it",2025-01-04
F000076,I00178,5,"no complaints, the line has kept pace all quarter",2025-11-29
F000077,I00189,5,"solid machine, support answered quickly when we asked",2026-11-16
F000078,I00190,4,"solid machine, support answered quickly when we asked",2025-10-07
F000079,I00191,5,"solid machine, support answered quickly when we asked",2026-04-04
F000080,I00194,5,"no complaints, the line has kept pace all quarter",2025-07-21
F000081,I00198,4,"reliable so far, operators like the controls",2025-09-01
F000082,I00199,4,"reliable so far, operators like the controls",2025-01-25
F000083,I00200,5,"no complaints, the line has kept pace all quarter",2025-11-08
F000084,I00202,4,"no complaints, the line has kept pace all quarter",2025-03-11
F000085,I00203,3,"keeps overheating in summer, not what we were promised on uptime",2025-03-02
F000086,I00205,4,"solid machine, support answered quickly when we asked",2025-10-15
F000087,I00206,5,"solid machine, support answered quickly when we asked",2026-02-19
F000088,I00207,1,"too much downtime in hot weather, we lost a shift to it",2024-11-17
F000089,I00209,4,"no complaints, the line has kept pace all quarter",2025-03-07
F000090,I00213,2,"too much downtime in hot weather, we lost a shift to it",2024-12-01
F000091,I00218,5,"reliable so far, operators like the controls",2025-12-12
F000092,I00220,2,wear parts go faster than expected at our duty cycle,2026-05-29
F000093,I00221,4,"reliable so far, operators like the controls",2025-05-15
F000094,I00224,4,"no complaints, the line has kept pace all quarter",2026-10-22
F000095,I00225,4,"reliable so far, operators like the controls",2026-06-12
F000096,I00226,5,"runs well, uptime has been excellent since commissioning",2026-01-18
F000097,I00230,4,"reliable so far, operators like the controls",2025-10-06
F000098,I00237,4,"runs well, uptime has been excellent since commissioning",2025-05-04
F000099,I00238,5,"reliable so far, operators like the controls",2024-12-02
F000100,I00241,1,"too much downtime in hot weather, we lost a shift to it",2025-10-28
F000101,I00243,5,"solid machine, support answered quickly when we asked",2025-09-20
