product_id,name,family,grade,cooling,load_rating_kg,duty_cycle_pct,ip_rating,price,launched
P001,Lifter Consumer Passive-Cooled,Lifter,consumer,passive,500,35,IP54,4100,2020-08-05
P002,Lifter Consumer Active-Cooled,Lifter,consumer,active,500,35,IP65,4500,2023-01-13
P003,Lifter Pro Passive-Cooled,Lifter,pro,passive,1500,65,IP65,11750,2022-12-30
P004,Lifter Pro Active-Cooled,Lifter,pro,active,1500,65,IP65,11600,2020-08-30
P005,Lifter Pro Liquid-Cooled,Lifter,pro,liquid,1500,65,IP54,11750,2022-01-01
P006,Lifter Industrial Active-Cooled,Lifter,industrial,active,4000,90,IP66,26600,2021-12-22
P007,Lifter Industrial Liquid-Cooled,Lifter,industrial,liquid,4000,90,IP66,27000,2023-03-14
P008,Conveyor Consumer Passive-Cooled,Conveyor,consumer,passive,500,35,IP54,3950,2022-03-20
P009,Conveyor Consumer Active-Cooled,Conveyor,consumer,active,500,35,IP54,4100,2020-03-20
P010,Conveyor Pro Passive-Cooled,Conveyor,pro,passive,1500,65,IP66,11600,2022-11-02
P011,Conveyor Pro Active-Cooled,Conveyor,pro,active,1500,65,IP65,11700,2022-12-03
P012,Conveyor Pro Liquid-Cooled,Conveyor,pro,liquid,1500,65,IP65,11700,2020-06-19
P013,Conveyor Industrial Active-Cooled,Conveyor,industrial,active,4000,90,IP65,27100,2020-06-25
P014,Conveyor Industrial Liquid-Cooled,Conveyor,industrial,liquid,4000,90,IP54,27150,2021-01-25
P015,Compactor Consumer Passive-Cooled,Compactor,consumer,passive,500,35,IP66,4300,2021-09-06
P016,Compactor Consumer Active-Cooled,Compactor,consumer,active,500,35,IP54,4500,2021-12-21
P017,Compactor Pro Passive-Cooled,Compactor,pro,passive,1500,65,IP54,11300,2021-12-09
P018,Compactor Pro Active-Cooled,Compactor,pro,active,1500,65,IP65,11600,2022-12-29
P019,Compactor Pro Liquid-Cooled,Compactor,pro,liquid,1500,65,IP54,11600,2021-03-30
P020,Compactor Industrial Active-Cooled,Compactor,industrial,active,4000,90,IP66,26600,2020-08-06
P021,Compactor Industrial Liquid-Cooled,Compactor,industrial,liquid,4000,90,IP66,26550,2022-03-27
P022,Hoist Consumer Passive-Cooled,Hoist,consumer,passive,500,35,IP54,4500,2020-05-16
P023,Hoist Consumer Active-Cooled,Hoist,consumer,active,500,35,IP66,3850,2021-09-28
P024,Hoist Pro Passive-Cooled,Hoist,pro,passive,1500,65,IP66,11750,2022-06-16
P025,Hoist Pro Active-Cooled,Hoist,pro,active,1500,65,IP65,11800,2023-02-13
P026,Hoist Pro Liquid-Cooled,Hoist,pro,liquid,1500,65,IP65,11250,2021-02-04
P027,Hoist Industrial Active-Cooled,Hoist,industrial,active,4000,90,IP66,26400,2022-07-08
P028,Hoist Industrial Liquid-Cooled,Hoist,industrial,liquid,4000,90,IP66,26550,2020-07-26
P029,Sorter Consumer Passive-Cooled,Sorter,consumer,passive,500,35,IP66,3800,2021-04-10
P030,Sorter Consumer Active-Cooled,Sorter,consumer,active,500,35,IP54,3850,2022-10-11
P031,Sorter Pro Passive-Cooled,Sorter,pro,passive,1500,65,IP54,11850,2021-02-18
P032,Sorter Pro Active-Cooled,Sorter,pro,active,1500,65,IP65,11500,2023-03-24
P033,Sorter Pro Liquid-Cooled,Sorter,pro,liquid,1500,65,IP66,11600,2020-04-18
P034,Sorter Industrial Active-Cooled,Sorter,industrial,active,4000,90,IP54,27100,2022-03-22
P035,Sorter Industrial Liquid-Cooled,Sorter,industrial,liquid,4000,90,IP54,27150,2020-04-03
P036,Loader Consumer Passive-Cooled,Loader,consumer,passive,500,35,IP66,4250,2023-02-02
P037,Loader Consumer Active-Cooled,Loader,consumer,active,500,35,IP66,4100,2023-02-22
P038,Loader Pro Passive-Cooled,Loader,pro,passive,1500,65,IP65,11200,2021-08-31
P039,Loader Pro Active-Cooled,Loader,pro,active,1500,65,IP66,11300,2023-01-20
P040,Loader Pro Liquid-Cooled,Loader,pro,liquid,1500,65,IP54,11850,2020-06-09
P041,Loader Industrial Active-Cooled,Loader,industrial,active,4000,90,IP66,27050,2021-11-01
P042,Loader Industrial Liquid-Cooled,Loader,industrial,liquid,4000,90,IP65,26850,2020-09-01
