ticket_id,install,opened,category,body,first_response_h,resolved
T000001,I00003,2024-12-12,wear,"drive wear and vibration, continuous three shift operation since install",1,False
T000002,I00004,2024-10-24,electrical,"control board error code 21, replaced the relay, fault cleared",30,False
T000003,I00005,2025-05-27,wear,"drive wear and vibration, continuous three shift operation since install",3,False
T000004,I00007,2026-02-17,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",4,True
T000005,I00009,2024-06-18,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",4,True
T000006,I00011,2026-03-10,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",54,True
T000007,I00011,2025-07-18,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",30,True
T000008,I00011,2025-09-09,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",30,True
T000009,I00012,2025-05-27,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",1,True
T000010,I00012,2026-01-10,user-error,"guard interlock left open, machine correctly refused to start, user error",3,True
T000011,I00013,2025-09-13,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",12,False
T000012,I00014,2024-11-04,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",8,True
T000013,I00017,2026-01-04,wear,"drive wear and vibration, continuous three shift operation since install",54,True
T000014,I00019,2025-02-14,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",30,True
T000015,I00021,2025-12-09,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",18,True
T000016,I00022,2025-01-17,wear,"drive wear and vibration, continuous three shift operation since install",18,True
T000017,I00023,2025-05-18,wear,"drive wear and vibration, continuous three shift operation since install",1,True
T000018,I00023,2024-11-30,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",3,True
T000019,I00024,2025-06-11,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",8,True
T000020,I00026,2024-11-13,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",30,False
T000021,I00026,2025-03-20,electrical,"control board error code 21, replaced the relay, fault cleared",54,False
T000022,I00027,2025-07-01,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",54,True
T000023,I00029,2025-03-21,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",54,True
T000024,I00032,2025-10-03,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",54,True
T000025,I00034,2024-12-30,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",3,True
T000026,I00034,2025-09-14,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",8,True
T000027,I00034,2025-12-02,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",3,True
T000028,I00035,2024-09-23,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",1,True
T000029,I00035,2024-11-15,user-error,"wrong operating mode selected, user error, showed the team the correct sequence",8,True
T000030,I00039,2025-03-01,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",1,True
T000031,I00040,2025-05-03,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",12,False
T000032,I00040,2025-03-08,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",54,True
T000033,I00040,2024-05-07,wear,"bearing play after continuous running, wear on the drive belt, third shift usage",54,True
T000034,I00044,2024-12-15,overheat,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",30,True
T000035,I00047,2025-04-17,electrical,"intermittent contactor fault, panel resets on its own, no pattern found",8,True
T000036,I00050,2024-10-06,electrical,"control board error code 21, replaced the relay, fault cleared",12,True
T000037,I00052,2024-07-07,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",18,True
T000038,I00052,2025-02-01,wear,"drive wear and vibration, continuous three shift operation since install",3,True
T000039,I00053,2025-04-03,wear,"drive wear and vibration, continuous three shift operation since install",96,True
T000040,I00054,2025-12-13,overheat,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",54,True
T000041,I00055,2024-06-05,overheat,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",8,True
T000042,I00057,2025-12-26,wear,"drive wear and vibration, continuous three shift operation since install",12,True
T000043,I00058,2025-02-16,wear,"belt slippage and wear, machine never idles, wear parts replaced twice",30,False
T000044,I00059,2025-08-23,overheat,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",54,True
T000045,I00059,2026-04-27,user-error,"operator loaded above rated capacity, retrained the crew, no defect found",4,True
T000046,I00065,2025-10-01,overheat,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",1,True
